 BRNO ,BRANCH NAME,STATE," RM0-RM1,500 "," >RM1,501-RM2,500 "," >RM2,500-RM5,000 "," >RM5,000-RM8,000 "," >RM8,000-RM15,000 "," >RM15,000-RM20,000 "," >RM20,000-RM30,000 "," >RM30,000-RM50,000 "," >RM50,0000 ", NA , Grand Total 
 401 , Ar-Rahnu X'Change Kota Bharu , KELANTAN ," 2,704 ", 173 , 213 , 33 , 6 , 2 ,, 1 ,, 1 ," 3,133 "
 402 , Ar-Rahnu X'Change Ulu Tiram , JOHOR ," 3,564 ", 272 , 190 , 29 , 9 ,, 1 ,,,," 4,065 "
 403 , Ar-Rahnu X'Change Ampang , SELANGOR ," 3,036 ", 684 , 718 , 115 , 41 , 5 , 8 , 1 , 6 ,," 4,614 "
 404 , Ar-Rahnu X'Change Alor Setar , KEDAH , 589 , 31 , 21 ,,,,, 1 , 6 ,, 648 
 405 , Ar-Rahnu X'Change Kuantan , PAHANG ," 2,980 ", 177 , 161 , 24 , 7 ,,,, 2 ,," 3,351 "
 406 , Ar-Rahnu X'Change Kemaman , TERENGGANU ," 2,884 ", 86 , 42 , 6 ,,,,,,," 3,018 "
 407 , Ar-Rahnu X'Change Sentul , W.P KUALA LUMPUR ," 1,891 ", 291 , 169 , 22 , 6 ,, 3 ,,,," 2,382 "
 408 , Ar-Rahnu X'Change Teluk Intan , PERAK ," 1,047 ", 218 , 176 , 30 , 6 ,,,,, 1 ," 1,478 "
 409 , Ar-Rahnu X'Change Sg Petani , KEDAH , 443 , 36 , 23 , 3 , 1 ,,,, 1 ,, 507 
 410 , Ar-Rahnu X'Change Mentakab , PAHANG , 57 , 2 ,,,,,,,,, 59 
 411 , Ar-Rahnu X'Change Muar , JOHOR ," 2,582 ", 241 , 226 , 36 , 4 ,, 3 ,,,," 3,092 "
 412 , Ar-Rahnu X'Change Melaka Sentral , MELAKA ," 2,122 ", 457 , 414 , 68 , 12 , 1 ,,,,," 3,074 "
 413 , Ar-Rahnu X'Change Balakong , SELANGOR ," 1,792 ", 197 , 222 , 48 , 15 , 2 , 5 , 1 ,,," 2,282 "
 414 , Ar-Rahnu X'Change Mergong , KEDAH ," 3,309 ", 495 , 534 , 114 , 27 , 2 , 1 ,, 1 ,," 4,483 "
 415 , Ar-Rahnu X'Change Kuala Pilah , NEGERI SEMBILAN , 92 , 15 , 21 , 2 , 1 ,,,,,, 131 
 416 , Ar-Rahnu X'Change Batang Kali , SELANGOR , 670 , 71 , 61 , 11 , 2 ,,,,,, 815 
 417 , Ar-Rahnu X'Change Tangkak , MELAKA , 914 , 73 , 72 , 10 , 2 ,,,,,," 1,071 "
 418 , Ar-Rahnu X'Change Simpang , PERAK ," 1,174 ", 91 , 93 , 15 , 1 , 1 ,,,, 1 ," 1,376 "
 419 , Ar-Rahnu X'Change Pagoh , JOHOR , 166 , 8 , 17 , 2 ,,,,,,, 193 
 420 , Ar-Rahnu X'Change Hulu Kelang , SELANGOR , 561 , 93 , 114 , 23 , 8 , 1 , 1 ,, 3 ,, 804 
 421 , Ar-Rahnu X'Change Sg Udang , MELAKA ," 1,622 ", 226 , 178 , 22 , 6 , 1 ,,,,," 2,055 "
 422 , Ar-Rahnu X'Change Rembau , NEGERI SEMBILAN , 918 , 84 , 69 , 11 , 2 , 1 ,,,,," 1,085 "
 423 , Ar-Rahnu X'Change Changlun , KEDAH , 887 , 81 , 100 , 14 , 8 ,,,,, 1 ," 1,091 "
 424 , Ar-Rahnu X'Change Jelawat , KELANTAN ," 1,362 ", 101 , 144 , 32 , 4 , 1 ,,,,," 1,644 "
 425 , Ar-Rahnu X'Change Batu Gajah , PERAK , 810 , 126 , 112 , 18 ,,,,,,," 1,066 "
 426 , Ar-Rahnu X'Change Kluang , JOHOR ," 1,126 ", 216 , 184 , 32 , 6 ,,,, 1 , 1 ," 1,566 "
 427 , Ar-Rahnu X'Change Parit Raja , JOHOR , 78 , 6 , 8 , 3 ,,,,,,, 95 
 428 , Ar-Rahnu X'Change Benut , JOHOR , 13 , 1 , 1 ,,,,,,,, 15 
 429 , Ar-Rahnu X'Change Saujana Utama , SELANGOR , 261 , 29 , 49 , 4 , 1 , 1 ,,,,, 345 
 430 , Ar-Rahnu X'Change Masai , JOHOR ," 1,946 ", 141 , 191 , 32 , 3 ,,,,,," 2,313 "
 431 , Ar-Rahnu X'Change Satok , SARAWAK ," 2,181 ", 333 , 489 , 122 , 16 , 2 ,, 1 ,,," 3,144 "
 432 , Ar-Rahnu X'Change Sitiawan , PERAK ," 1,071 ", 133 , 120 , 14 , 8 ,, 1 ,,,," 1,347 "
 433 , Ar-Rahnu X'Change Langkawi , KEDAH ," 1,595 ", 109 , 69 , 5 , 1 , 1 ,,,,," 1,780 "
 434 , Ar-Rahnu X'Change Jln Rakyat , W.P KUALA LUMPUR , 555 , 106 , 114 , 39 , 12 , 1 , 1 , 1 ,,, 829 
 475 , Bank Bergerak Kota Bharu , KELANTAN , 523 , 5 ,,,,,,,,, 528 
 476 , Bank Bergerak Temerloh , PAHANG ," 2,389 ", 44 , 42 , 4 , 2 ,,, 1 ,,," 2,482 "
 477 , Bank Bergerak Kuala Lumpur , W.P KUALA LUMPUR , 601 , 44 , 23 , 1 , 3 ,,,,,, 672 
 478 , Bank Bergerak Alor Setar , KEDAH , 640 , 34 , 44 , 10 , 1 ,,,,,, 729 
 496 ,HQ,W.P KUALA LUMPUR, 1 , 10 , 6 , 1 ,, 1 ,,,,, 19 
 497 ,HQ,W.P KUALA LUMPUR," 41,808 "," 46,304 "," 132,842 "," 43,537 "," 7,931 ", 577 , 372 , 126 , 103 , 108 ," 273,708 "
 498 ,HQ,W.P KUALA LUMPUR, 42 , 1 , 4 ,,,,,,,, 47 
 499 ,HQ,W.P KUALA LUMPUR, 67 , 110 , 190 , 78 , 39 , 5 , 8 , 1 , 1 ,, 499 
 500 ,HQ,W.P KUALA LUMPUR, 884 , 707 , 739 , 137 , 30 , 7 , 1 , 3 , 2 , 1 ," 2,511 "
 Grand Total ,,," 2,672,090 "," 484,160 "," 680,408 "," 189,290 "," 41,341 "," 3,983 "," 2,661 "," 1,087 ", 879 , 672 ," 4,076,571 "
