 BRNO ,BRANCH NAME,STATE," RM0-RM1,500 "," >RM1,501-RM2,500 "," >RM2,500-RM5,000 "," >RM5,000-RM8,000 "," >RM8,000-RM15,000 "," >RM15,000-RM20,000 "," >RM20,000-RM30,000 "," >RM30,000-RM50,000 "," >RM50,0000 ", NA , Grand Total 
 139 , Desa Sri Hartamas , W.P KUALA LUMPUR ," 2,375 ", 625 , 896 , 297 , 119 , 23 , 15 , 6 , 2 ,," 4,358 "
 140 , Nusajaya , JOHOR ," 5,283 "," 1,389 "," 1,747 ", 284 , 80 , 8 , 4 , 4 , 3 ,," 8,802 "
 141 , Bentong , PAHANG ," 4,400 ", 830 ," 1,145 ", 291 , 32 , 4 , 2 ,, 2 ,," 6,706 "
 142 , Kuala Krai , KELANTAN ," 10,092 ", 964 ," 1,602 ", 639 , 66 ,,,,, 5 ," 13,368 "
 143 , Marang , TERENGGANU ," 7,614 "," 1,259 "," 1,713 ", 477 , 68 , 2 , 5 , 2 , 2 , 1 ," 11,143 "
 144 , Semporna , SABAH ," 8,099 ", 552 ," 1,215 ", 630 , 43 ,,, 1 , 1 ,," 10,541 "
 145 , Labis , JOHOR ," 2,984 ", 636 , 975 , 253 , 29 ,,,,, 2 ," 4,879 "
 146 , Utama , W.P KUALA LUMPUR ," 5,582 ", 956 ," 1,951 ", 791 , 422 , 86 , 53 , 21 , 13 , 1 ," 9,876 "
 147 , Kuala Berang , TERENGGANU ," 4,689 ", 983 ," 1,436 ", 364 , 43 , 3 ,, 2 ,, 1 ," 7,521 "
 148 , Kuala Pilah , NEGERI SEMBILAN ," 4,757 ", 837 ," 1,081 ", 255 , 36 , 1 , 1 , 1 ,,," 6,969 "
170,SBWJALANIPOH,W.P KUALA LUMPUR, 33 ,,,,,,,,,, 33 
173,SBWSHAMELIN ,W.P KUALA LUMPUR,, 2 , 2 ,, 1 ,,,,,, 5 
176,SBWSENAWANG ,NEGERI SEMBILAN, 1 ,,,,,,,,,, 1 
181,SBWMENTAKAB ,PAHANG, 1 ,,,,,,,,,, 1 
190,HPJJLNTANGSI,W.P KUALA LUMPUR, 161 , 462 ," 1,116 ", 520 , 259 , 27 , 18 , 8 , 3 , 1 ," 2,575 "
191,HPJSHAHALAM ,SELANGOR, 70 , 349 , 493 , 154 , 45 , 8 , 7 , 1 , 2 ,," 1,129 "
192,HPJ_SEB_JAYA,PULAU PINANG, 38 , 191 , 407 , 145 , 19 , 3 ,,,,, 803 
193,HPJ_NUSAJAYA,JOHOR, 47 , 101 , 196 , 53 , 13 , 1 ,,, 1 ,, 412 
 299 , Pusat Kewangan Auto Jalan Ipoh , W.P KUALA LUMPUR , 154 , 296 ," 1,179 ", 447 , 146 , 19 , 13 , 6 , 3 ,," 2,263 "
 380 , Rakyat Xcess/X'Change Kampar , PERAK ," 6,933 ", 284 , 471 , 107 , 12 , 3 ,,,,," 7,810 "
 381 , Rakyat Xcess Bukit Gambir , JOHOR ," 2,969 ", 313 , 380 , 110 , 14 ,,,,,," 3,786 "
 382 , Rakyat Xcess/X'Change Bangi , SELANGOR ," 4,719 ", 549 , 966 , 372 , 176 , 26 , 9 , 6 , 2 ,," 6,825 "
 383 , Rakyat Xcess/X'Change Alor Setar , KEDAH ," 4,620 ", 567 , 673 , 176 , 27 ,,, 1 , 8 ,," 6,072 "
 384 , Rakyat Xcess/X'Change Sik , KEDAH ," 7,112 ", 588 , 770 , 244 , 18 ,, 1 , 1 , 1 , 1 ," 8,736 "
 385 , Rakyat Xcess Sungai Petani , KEDAH ," 6,189 ", 762 ," 1,063 ", 308 , 33 , 1 , 3 ,,, 2 ," 8,361 "
 386 , Rakyat Xcess/X'Change Enstek , NEGERI SEMBILAN ," 3,472 ", 629 , 629 , 199 , 62 , 8 , 4 , 2 , 1 , 2 ," 5,008 "
 387 , Rakyat Xcess/X'Change Kuala Rompin , PAHANG ," 4,564 ", 201 , 243 , 41 , 13 ,, 1 ,,,," 5,063 "
 388 , Rakyat Xcess/X'Change Jeli , KELANTAN ," 5,458 ", 429 , 610 , 189 , 26 ,,,, 1 , 2 ," 6,715 "
 389 , Rakyat Xcess/X'Change Chabang Tiga , TERENGGANU ," 6,424 "," 1,137 "," 1,977 ", 542 , 86 , 3 , 5 , 1 , 4 , 2 ," 10,181 "
 390 , Rakyat Xcess Cameron Highlands , PERAK ," 1,146 ", 173 , 174 , 45 , 5 ,,,,,," 1,543 "
 391 , Rakyat Xcess Serian , SARAWAK ," 3,534 ", 307 , 544 , 264 , 8 , 2 , 1 ,,, 2 ," 4,662 "
 392 , Rakyat Xcess Seremban 2 , NEGERI SEMBILAN ," 3,646 ", 285 , 479 , 122 , 26 , 3 , 2 ,,, 1 ," 4,564 "
 393 , Rakyat Xcess/X'Change Mentakab , PAHANG ," 2,707 ", 261 , 420 , 72 , 8 ,,,,,," 3,468 "
 394 , Rakyat Xcess/X'Change Beranang , SELANGOR ," 4,833 ", 493 , 893 , 301 , 68 , 4 , 2 , 1 , 2 , 1 ," 6,598 "
 395 , Rakyat Xcess/X'Change Btasik Puteri , SELANGOR ," 5,694 ", 273 , 429 , 166 , 33 , 4 , 2 ,, 2 ,," 6,603 "
 396 , Rakyat Xcess Saujana Utama , SELANGOR ," 4,962 ", 345 , 556 , 203 , 40 , 3 , 1 , 1 ,,," 6,111 "
 397 , Rakyat Xcess Benut , JOHOR ," 7,929 ", 266 , 393 , 107 , 18 ,,,,, 1 ," 8,714 "
 398 , Rakyat Xcess Parit Raja , JOHOR ," 6,101 ", 541 ," 1,028 ", 370 , 75 , 5 , 3 ,, 1 , 1 ," 8,125 "
 399 , Rakyat Xcess Gemas , NEGERI SEMBILAN ," 3,478 ", 509 , 623 , 129 , 8 , 1 ,, 1 , 1 , 2 ," 4,752 "
